target,source,flow,distance,TargetBusstopName,SourceBusstopName
41021,42161,1,Long,Bt Timah Rd,Jln Jurong Kechil
41029,76409,1,Long,Dunearn Rd,Tampines St 21
41049,59059,1,Long,Dunearn Rd,Yishun Ave 2
41071,59069,1,Long,Bt Timah Rd,Yishun Ave 2
41071,43341,1,Long,Bt Timah Rd,Bt Batok West Ave 3
41129,10231,1,Long,Adam Rd,Ganges Ave
41139,42039,1,Long,Adam Rd,Dunearn Rd
42011,10099,1,Long,Bt Timah Rd,Jln Bt Merah
42041,43619,1,Long,Bt Timah Rd,Bt Batok East Ave 3
42049,42059,1,Short,Dunearn Rd,Dunearn Rd
42049,40021,1,Long,Dunearn Rd,Bt Timah Rd
42051,44209,1,Short,Bt Timah Rd,Petir Rd
42059,11401,1,Long,Dunearn Rd,Holland Ave
42071,44539,1,Long,Upp Bt Timah Rd,Choa Chu Kang Ave 4
42071,43009,1,Long,Upp Bt Timah Rd,Bt Batok Ctrl
42089,42291,1,Long,Jln Anak Bt,Toh Tuck Rise
42091,42111,1,Short,Upp Bt Timah Rd,Upp Bt Timah Rd
42109,12021,1,Short,Jln Anak Bt,Holland Rd
42111,43301,1,Long,Upp Bt Timah Rd,Jln Batu Nilam
42151,42109,1,Short,Jln Jurong Kechil,Jln Anak Bt
43139,44229,1,Short,Cashew Rd,Pending Rd
43169,43259,1,Short,Bt Batok East Ave 4,Hillview Ave
43169,46009,1,Long,Bt Batok East Ave 4,Woodlands Sq
43181,43171,1,Short,Bt Batok East Ave 3,Bt Batok East Ave 3
43189,43091,1,Short,Bt Batok East Ave 3,Upp Bt Timah Rd
43189,52079,1,Long,Bt Batok East Ave 3,Jln Toa Payoh
43189,43091,1,Long,Bt Batok East Ave 3,Upp Bt Timah Rd
43259,43411,1,Short,Hillview Ave,Bt Batok Ctrl
43259,20101,1,Long,Hillview Ave,C'wealth Ave West
43379,43419,1,Short,Bt Batok West Ave 6,Bt Batok Ctrl
43391,45421,1,Long,Bt Batok Ctrl,Choa Chu Kang Cres
43401,20141,1,Long,Bt Batok West Ave 3,West Coast Rd
43411,43171,1,Short,Bt Batok Ctrl,Bt Batok East Ave 3
43419,44141,1,Long,Bt Batok Ctrl,Choa Chu Kang Rd
43529,60121,1,Long,Bt Batok West Ave 5,S'goon Rd
43709,44249,1,Long,Bt Batok Ctrl,Bt Panjang Rd
43839,44269,1,Long,Bt Batok West Ave 7,Bt Panjang Rd
44009,43411,1,Long,Choa Chu Kang Loop,Bt Batok Ctrl
44141,42061,1,Long,Choa Chu Kang Rd,Bt Timah Rd
44151,58101,1,Long,Bt Batok Rd,Canberra Rd
44159,6171,1,Long,Bt Batok Rd,Upp Cross St
44221,46539,1,Long,Pending Rd,Woodlands Ave 3
44221,53019,1,Long,Pending Rd,Upp Thomson Rd
44229,46191,1,Long,Pending Rd,Marsiling Rise
44261,15199,1,Long,Bt Panjang Rd,Pasir Panjang Rd
44269,44811,2,Short,Bt Panjang Rd,Senja Rd
44311,44601,1,Short,Bangkit Rd,Saujana Rd
44401,44809,1,Short,Bt Panjang Rd,Senja Rd
44421,29021,1,Long,Teck Whye Lane,Penjuru Rd
44461,44411,1,Short,Choa Chu Kang Way,Teck Whye Lane
44531,44281,1,Short,Choa Chu Kang Ave 4,Teck Whye Ave
44531,43579,1,Long,Choa Chu Kang Ave 4,Bt Batok West Ave 5
44539,44271,1,Short,Choa Chu Kang Ave 4,Teck Whye Ave
44539,45059,1,Long,Choa Chu Kang Ave 4,Woodlands Rd
44641,44251,1,Short,Bt Panjang Ring Rd,Bt Panjang Rd
44641,44329,1,Short,Bt Panjang Ring Rd,Bt Panjang Ring Rd
44641,66029,1,Long,Bt Panjang Ring Rd,Lor Chuan
45029,28291,1,Long,Woodlands Rd,Jurong Town Hall Rd
45139,45091,2,Short,Woodlands Rd,Woodlands Rd
45139,55509,1,Long,Woodlands Rd,Ang Mo Kio Ave 8
45379,25061,1,Long,Choa Chu Kang Nth 6,Tuas Ave 9
45421,43719,1,Long,Choa Chu Kang Cres,Gombak Dr
46008,46189,1,Short,Woodlands Sq,Marsiling Rd
46008,46621,1,Short,Woodlands Sq,Woodlands Ave 1
46008,59079,1,Long,Woodlands Sq,Yishun Ave 2
46009,43491,1,Long,Woodlands Sq,Bt Batok West Ave 4
46009,10331,1,Long,Woodlands Sq,Henderson Rd
46009,98091,1,Long,Woodlands Sq,Pasir Ris Dr 1
46009,44009,1,Long,Woodlands Sq,Choa Chu Kang Loop
46059,43841,1,Long,Woodlands Rd,Bt Batok St 33
46321,1029,1,Long,Woodlands Ave 5,Nth Bridge Rd
46389,67401,1,Long,Woodlands Ave 3,Sengkang East Way
46471,46809,1,Short,Woodlands Ave 9,Woodlands Ave 6
46511,46539,1,Short,Woodlands Ctr Rd,Woodlands Ave 3
46711,60161,1,Long,Woodlands Ave 8,S'goon Rd
46771,46479,1,Short,Woodlands Ave 7,Woodlands Ave 9
46771,17179,1,Long,Woodlands Ave 7,C'wealth Ave West
46799,46479,1,Short,Woodlands Ave 6,Woodlands Ave 9
46869,58361,1,Long,Woodlands Ring Rd,Admiralty St
